#Time(m) WiFi 4G
0.00 102 2.31
0.08 145 0.758
0.17 150 1.38
0.25 160 1.44
0.33 168 1.43
0.42 162 1.44
0.50 170 2.15
0.58 166 1.33
0.67 170 2.77
0.75 165 2.08
0.83 167 3.11
0.92 88.1 2.08
1.00 0 2.08
1.08 62.5 5.71
1.17 102 4.15
1.25 90.3 5.19
1.33 34.3 0
1.42 40.1 0
1.50 45.4 0
1.58 16.9 10.5
1.67 28.4 6.65
1.75 46.6 0
1.83 11.9 0
1.92 17.2 6.23
2.00 34.6 0
2.08 40.2 0
2.17 39.1 0
2.25 82.1 6.23
2.33 96.2 6.23
2.42 101 6.23
2.50 103 0
2.58 85.1 6.24
2.67 95.3 0
2.75 79.2 6.75
2.83 74.6 6.75
2.92 70.2 7.27
3.00 28.6 6.23
3.08 17.1 6.23
3.17 17.6 6.75
3.25 16.9 6.23
3.33 35 6.23
3.42 80.6 6.23
3.50 101 6.23
3.58 97.6 6.75
3.67 76.5 6.23
3.75 70.4 0
3.83 78.9 0
3.92 85.2 0
4.00 92.3 0
4.08 61.3 6.23
4.17 85.7 0
4.25 68.4 0
4.33 16.5 0
4.42 11.2 0
4.50 33.9 6.23
4.58 93.3 0
4.67 51.7 0
4.75 23.3 0
4.83 22.6 0
4.92 17.5 0
5.00 51.4 0
5.08 98.2 0
5.17 101 0
5.25 101 0
5.33 102 0
5.42 101 0
5.50 95.4 0
5.58 102 0
5.67 100 0
5.75 100 0
5.83 100 0
5.92 95.1 0
6.00 102 0
6.08 101 6.75
6.17 94.8 0
6.25 80 0
6.33 72.9 0
6.42 34.4 0
6.50 16.5 0
6.58 22.7 6.75
6.67 23.4 0
6.75 40.5 0
6.83 35.2 0
6.92 16.9 0
7.00 22.8 0
7.08 29.7 0
7.17 29 0
7.25 29.6 7.25
7.33 16.8 0
7.42 5.54 0
7.50 12.5 0
7.58 11.8 6.74
7.67 12.4 0
7.75 5.64 6.74
7.83 6.07 6.74
7.92 61.7 6.74
8.00 97.5 0
8.08 85.6 6.74
8.17 86.1 6.74
8.25 62.7 6.74
8.33 70.7 6.73
8.42 53.2 6.74
8.50 55.4 13.5
8.58 5.98 20.2
8.67 5.93 13.5
8.75 73.9 13.5
8.83 101 13.5
8.92 96.2 20.2
9.00 85 20.2
9.08 86.8 20.2
9.17 76.3 26.9
9.25 90.5 22.8
9.33 79.6 27
9.42 79.8 20.2
9.50 85.6 20.2
9.58 83.3 20.2
9.67 81.4 21.2
9.75 90.9 20.2
9.83 86.7 20.2
9.92 86.4 26.9
10.00 86.7 26.9
10.08 63.7 26.9
10.17 35.1 20.2
10.25 40.8 26.9
10.33 29.8 20.2
10.42 12.7 26.9
10.50 69.8 20.2
10.58 80.1 14.5
10.67 78.9 20.2
10.75 59.2 27
10.83 24 20.2
10.92 23.2 13.5
11.00 22.2 20.2
11.08 17.7 20.2
11.17 11.7 20.2
11.25 5.65 20.2
11.33 5.5 20.2
11.42 0 20.2
11.50 0 20.2
11.58 11.4 20.2
11.67 22.8 20.2
11.75 10.9 20.2
11.83 16.6 27
11.92 0 20.2
12.00 5.55 26.9
12.08 0 20.2
12.17 0 27.5
12.25 0 20.2
12.33 0 27
12.42 0 20.2
12.50 0 20.2
12.58 0 26.9
12.67 0 26.9
12.75 0 33.7
12.83 0 33.7
12.92 0 26.9
13.00 0 26.9
13.08 0 33.7
13.17 0 26.9
13.25 0 20.2
13.33 0 20.2
13.42 0 13.5
13.50 0 27
13.58 0 26.9
13.67 0 26.9
13.75 0 26.9
13.83 41 26.9
13.92 47.9 33.7
14.00 41.3 26.9
14.08 35.2 28
14.17 29.4 26.9
14.25 28.7 26.9
14.33 46.9 28
